phone_num,product,price
c597e502439d3f300ae0eb20629341d6db148fcfd42426f8ee1ede6ce03e5f3e,gas,0.05
c597e502439d3f300ae0eb20629341d6db148fcfd42426f8ee1ede6ce03e5f3e,elec,0.15
e3573ef22b5ddd14fd91e93be47f7fc1b7548d12e42a92d0b66b4cdb94fed075,elec,0.15
e3573ef22b5ddd14fd91e93be47f7fc1b7548d12e42a92d0b66b4cdb94fed075,french_elec,0.01
45cbfa6f474fcbdf87f7167858b348aa87917c251efa0f8eb45d269d852c0870,elec,0.15
45cbfa6f474fcbdf87f7167858b348aa87917c251efa0f8eb45d269d852c0870,french_elec,0.01
c9f218dfebe15b562e9523afb6aa5e671ca03b46446c1196ed342d2a1d1b9052,gas,0.05
c9f218dfebe15b562e9523afb6aa5e671ca03b46446c1196ed342d2a1d1b9052,elec,0.15
c9f218dfebe15b562e9523afb6aa5e671ca03b46446c1196ed342d2a1d1b9052,biomethane,0.02
fac05f68ebd91b9f9c776bac9a1d0a1e9266d3cf01e06b95415268b5546ac0d6,elec,0.15
7a33ec148d729e7a160e4ea290dab68c3b2cf883b6157dca6bc8fd8934c573a9,elec,0.15
7a33ec148d729e7a160e4ea290dab68c3b2cf883b6157dca6bc8fd8934c573a9,french_elec,0.01
121306b71c4dd21670096e9834ee5b3c33c8319933b82429190403ad7eaded81,elec,0.15
121306b71c4dd21670096e9834ee5b3c33c8319933b82429190403ad7eaded81,french_elec,0.01
ddc467f5f4549d8f46b3fbc9e135c9b5bc6adf0bf75159b0af19566036fbb4d5,elec,0.15
e81618813e7729c18bcbaa8beb0304140b1f0a34ff8ad520cde61d367c45b91d,elec,0.15
21e016364c7b4d3ca96d5bc85798fa67df44c79c8e5940afdff897c7bc918bde,elec,0.15
b90173fab3125b62abbe5d0aa4343c23b76ad6150455be05125a126cfc606850,elec,0.15
b90173fab3125b62abbe5d0aa4343c23b76ad6150455be05125a126cfc606850,french_elec,0.01
d1180cc5e597e013d23d2de17707cb069d53bf310183fe872337034ad1e1b8b7,elec,0.15
d1180cc5e597e013d23d2de17707cb069d53bf310183fe872337034ad1e1b8b7,french_elec,0.01
6049d60fa5ef21d2104fa57500a90198b913e384aaa5c12420e94f49b9f0ed9b,elec,0.15
6049d60fa5ef21d2104fa57500a90198b913e384aaa5c12420e94f49b9f0ed9b,french_elec,0.01
2ecb356f3d57fcc4dbbf9dbe73043bbfaae4f8e8a7e653319061bffb19786652,elec,0.15
1bc1bebf85d004c9860db379cc03891d121cafeac9f15f1d799c1e0d664597eb,elec,0.15
1bc1bebf85d004c9860db379cc03891d121cafeac9f15f1d799c1e0d664597eb,french_elec,0.01
34e6999a72bbae2cfdaf9cb1e3c008e23fb356cadd18c774eb786e35b82f3467,elec,0.15
41821e696419ca81d038c2df66f4b2fefdaac82885338d300bc97e8417108808,elec,0.15
5288044df57c22d28946d66d3644d8ef3325baa7d5d904c275a335a7a088c668,gas,0.05
5288044df57c22d28946d66d3644d8ef3325baa7d5d904c275a335a7a088c668,elec,0.15
06f25e3ca9aa68d64e590f5300c049b428730626c11f712669ec52135064862c,elec,0.15
64e81bbe55a1b9cac310d38e5fe3425f3cd8f9b2deb88cb79a3987ea02ad0e8b,gas,0.05
64e81bbe55a1b9cac310d38e5fe3425f3cd8f9b2deb88cb79a3987ea02ad0e8b,biomethane,0.02
2749c70788394391af4d16753a787854ad17e1e8aea5f773f1994958122ca44c,gas,0.05
2749c70788394391af4d16753a787854ad17e1e8aea5f773f1994958122ca44c,elec,0.15
2749c70788394391af4d16753a787854ad17e1e8aea5f773f1994958122ca44c,biomethane,0.02
e24e5dfa33ce314deb804ec5b617d73e9d81db7985eb6331a86067a830753828,elec,0.15
798666715c259285149656b9fb87c47b0c642cce39d6ccc68b68e2c8a21c175f,elec,0.15
a52667d74ce5c1805829ce91e31a2dd2cf9357c6049fecf0db0c178da653ce68,elec,0.15
f3432077689e91b17ecca1e13a84db13433a7790c26df62debd5b1d1c9e03bca,elec,0.15
f3432077689e91b17ecca1e13a84db13433a7790c26df62debd5b1d1c9e03bca,french_elec,0.01
ea55f50275eff30a618dfb4e522d5d0b578c51afb2f51c74d76c40eb29abb141,elec,0.15
4fcd796681baec1fc4dad20c43349865b6c8b6d4c612f9b003e4be62a4b9f415,gas,0.05
4fcd796681baec1fc4dad20c43349865b6c8b6d4c612f9b003e4be62a4b9f415,elec,0.15
ab785b1812f13408d4892897010cd296bf3f1e66846d4cc4ceee051ed003310b,elec,0.15
2f95530275d76aa48a7286438d991117a966a7e03566e6630e9a6838e8901c1a,elec,0.15
026d1d0b8a6d1a1cf8dea8f793795dac76a9ff5b42cf61860be075e65773219c,elec,0.15
ab5b4b8227c0aa73562f753112dbbfa4439e603d6ed9fa8a57c29bc68cd28231,elec,0.15
272948fd3e37851252a7dc69de8e94f44db732140eb66b87ce8e45b2ffa3f15f,elec,0.15
272948fd3e37851252a7dc69de8e94f44db732140eb66b87ce8e45b2ffa3f15f,french_elec,0.01
28c3294b472ce454af141c02e9840ce8b9f5f5bebd23cc20adb42413afefdc46,gas,0.05
28c3294b472ce454af141c02e9840ce8b9f5f5bebd23cc20adb42413afefdc46,elec,0.15
28c3294b472ce454af141c02e9840ce8b9f5f5bebd23cc20adb42413afefdc46,french_elec,0.01
18d34b76940a83012726cb4a46a14ff1c77ff67791fee4761da9c9b81c9db4be,elec,0.15
18d34b76940a83012726cb4a46a14ff1c77ff67791fee4761da9c9b81c9db4be,french_elec,0.01
54200d731b32c06a7ce10817959b7a5aed258e74d18c71e7290cb8eb3a108d2a,elec,0.15
54200d731b32c06a7ce10817959b7a5aed258e74d18c71e7290cb8eb3a108d2a,french_elec,0.01
8c2ce3811786565c964a979fc8cf3971a965d5de21fe53d2dc64941ac3775000,elec,0.15
5e423627b7a897288c26f0e8b541e4d5df20e9fdcee762c66a8c7e19079928e2,elec,0.15
b50b8016079d495e09c90fd8971fbbe5c07467f4c96f16feca79eb22b4452036,gas,0.05
b50b8016079d495e09c90fd8971fbbe5c07467f4c96f16feca79eb22b4452036,elec,0.15
bda2ac012cfed02ef742fca24ca56c5c0453cfc6ed6dea6d8b09a67fa314d309,elec,0.15
