user_id,version,1 - arrivée souscription,2 - estimateur,3 - devis & info persos,4 - services & options,5 - PCE / PDL,6 - Facturation & paiement,7 - Récap,8 - Fini !,phonenumber,has_elec,has_gas,elec_annual_consumption,gas_annual_consumption
0,A,True,True,True,True,True,False,False,False,01 33 31 78 10,True,True,1401.0,3549.0
1,B,True,True,True,True,True,True,True,False,+33 1 73 08 84 11,True,False,4855.0,
2,A,True,True,True,True,True,True,True,True,+33 2 09 47 92 12,True,False,3206.0,
3,A,True,True,True,True,True,True,True,True,04 04 88 08 83,True,True,1430.0,3528.0
4,B,True,True,False,False,False,False,False,False,,False,False,,
5,A,True,True,True,True,True,True,True,True,+33 2 20 90 06 93,True,False,3248.0,
6,B,True,True,True,True,True,True,True,True,07 89 80 07 12,True,False,4700.0,
7,A,True,True,False,False,False,False,False,False,,False,False,,
8,B,True,True,True,True,True,False,False,False,+33 6 61 61 31 61,True,False,4848.0,
9,B,True,True,True,True,True,True,True,True,02 92 62 83 24,True,False,4603.0,
10,A,True,True,True,True,True,True,True,False,03 65 60 18 24,True,False,3401.0,
11,A,True,True,True,True,False,False,False,False,+33 1 12 47 21 50,True,False,4652.0,
12,A,True,True,True,False,False,False,False,False,,False,False,,
13,B,True,True,True,True,True,True,False,False,+33 6 68 99 48 73,True,False,3959.0,
14,A,True,True,True,True,True,True,True,True,+33 2 03 48 60 38,True,False,3890.0,
15,A,True,False,False,False,False,False,False,False,,False,False,,
16,A,True,True,False,False,False,False,False,False,,False,False,,
17,B,True,True,False,False,False,False,False,False,,False,False,,
18,A,True,True,True,True,True,False,False,False,+33 7 56 08 57 95,True,False,4912.0,
19,A,True,True,False,False,False,False,False,False,,False,False,,
20,A,True,True,True,True,True,True,True,True,02 46 54 57 96,True,False,4837.0,
21,B,True,False,False,False,False,False,False,False,,False,False,,
22,B,True,True,True,True,True,False,False,False,03 36 56 38 97,True,False,4603.0,
23,B,True,True,True,True,True,False,False,False,03 12 35 45 09,True,False,4269.0,
24,A,True,True,True,True,True,False,False,False,01 64 21 87 19,True,False,3496.0,
25,B,True,True,True,True,True,True,True,True,04 46 65 57 24,True,True,1408.0,3109.0
26,A,True,True,True,True,True,True,True,True,+33 6 61 34 79 59,True,False,3449.0,
27,B,True,True,True,True,True,False,False,False,+33 3 77 62 53 28,False,True,,3069.0
28,B,True,True,True,True,True,True,True,True,+33 6 96 63 56 57,True,True,1281.0,3523.0
29,B,True,True,True,False,False,False,False,False,,False,False,,
30,A,True,True,True,True,False,False,False,False,06 32 20 65 35,True,False,4187.0,
31,A,True,True,True,True,True,True,True,True,03 33 03 09 01,True,False,3098.0,
32,B,True,True,True,True,True,True,True,True,06 62 66 38 09,True,False,4158.0,
33,B,True,False,False,False,False,False,False,False,,False,False,,
34,A,True,True,True,True,True,False,False,False,+33 2 82 65 56 13,True,False,4158.0,
35,A,True,True,False,False,False,False,False,False,,False,False,,
36,A,True,True,True,True,True,False,False,False,02 11 34 36 50,True,False,3969.0,
37,B,True,False,False,False,False,False,False,False,,False,False,,
38,A,True,True,True,True,True,False,False,False,+33 3 89 39 65 54,True,True,1674.0,3036.0
39,B,True,True,True,True,True,False,False,False,+33 6 54 21 85 56,True,False,4474.0,
40,B,True,False,False,False,False,False,False,False,,False,False,,
41,A,True,True,True,True,True,True,True,True,06 34 18 75 16,True,False,4340.0,
42,A,True,True,True,False,False,False,False,False,,False,False,,
43,A,True,True,False,False,False,False,False,False,,False,False,,
44,A,True,True,False,False,False,False,False,False,,False,False,,
45,B,True,True,True,True,True,True,False,False,06 74 78 72 15,True,False,4689.0,
46,B,True,True,True,True,True,True,True,True,03 92 36 83 99,True,False,3922.0,
47,B,True,True,True,True,True,False,False,False,+33 3 05 65 39 51,True,False,3320.0,
48,A,True,True,True,True,True,False,False,False,+33 3 76 58 38 62,True,True,1742.0,3879.0
49,A,True,True,True,True,True,False,False,False,01 52 49 81 12,True,False,4448.0,
50,B,True,True,True,True,True,False,False,False,02 46 42 15 14,True,False,3106.0,
51,B,True,True,True,True,True,False,False,False,03 76 92 30 16,True,False,3076.0,
52,B,True,False,False,False,False,False,False,False,,False,False,,
53,A,True,False,False,False,False,False,False,False,,False,False,,
54,B,True,True,True,True,False,False,False,False,02 80 33 92 54,True,False,3021.0,
55,A,True,True,True,True,True,False,False,False,02 16 15 00 33,True,True,1884.0,3757.0
56,A,True,True,True,True,True,True,True,True,+33 2 22 92 22 70,True,False,4010.0,
57,A,True,True,True,True,True,True,True,True,+33 1 11 14 21 43,False,True,,3246.0
58,A,True,True,True,True,True,True,False,False,+33 3 13 54 40 89,True,True,1841.0,3170.0
59,B,True,True,True,True,True,False,False,False,06 11 21 66 34,True,False,4906.0,
60,B,True,True,True,True,True,True,True,True,+33 6 27 30 86 00,True,True,1126.0,3508.0
61,A,True,True,True,True,True,False,False,False,03 30 43 58 57,True,False,4262.0,
62,B,True,True,True,True,True,True,True,False,03 15 13 13 76,True,False,3919.0,
63,A,True,True,True,True,True,True,True,True,03 48 67 77 96,True,True,1453.0,3083.0
64,A,True,True,True,True,False,False,False,False,+33 1 10 74 07 89,True,True,1044.0,3052.0
65,B,True,True,False,False,False,False,False,False,,False,False,,
66,A,True,True,True,True,True,False,False,False,02 85 43 22 53,True,False,3361.0,
67,B,True,True,True,True,True,True,True,True,06 73 42 66 68,True,True,1017.0,3945.0
68,A,True,True,True,True,True,True,False,False,04 86 77 24 43,True,True,1340.0,3133.0
69,A,True,True,True,True,False,False,False,False,+33 2 43 44 45 50,True,False,3397.0,
70,A,True,True,True,True,True,True,True,True,06 76 65 96 29,False,True,,3098.0
71,B,True,True,True,True,False,False,False,False,06 90 60 62 68,True,False,4838.0,
72,A,True,True,True,False,False,False,False,False,,False,False,,
73,B,True,False,False,False,False,False,False,False,,False,False,,
74,B,True,True,True,True,False,False,False,False,03 73 17 02 57,True,False,3006.0,
75,A,True,True,True,True,False,False,False,False,+33 7 05 51 98 11,True,False,4848.0,
76,B,True,True,True,True,True,True,True,True,03 55 93 90 13,True,False,3315.0,
77,B,True,True,True,True,True,True,True,True,+33 1 40 16 08 62,True,False,3807.0,
78,A,True,True,True,True,True,True,True,True,07 87 33 78 09,True,False,4853.0,
79,B,True,False,False,False,False,False,False,False,,False,False,,
80,B,True,False,False,False,False,False,False,False,,False,False,,
81,A,True,True,False,False,False,False,False,False,,False,False,,
82,A,True,True,True,True,True,True,True,True,+33 3 08 04 35 48,True,True,1620.0,3593.0
83,B,True,True,False,False,False,False,False,False,,False,False,,
84,A,True,True,False,False,False,False,False,False,,False,False,,
85,B,True,True,True,True,True,True,True,True,+33 4 43 41 55 71,True,False,3125.0,
86,B,True,True,True,True,True,True,True,True,06 73 16 53 69,True,True,1852.0,3561.0
87,B,True,True,True,True,True,False,False,False,+33 4 87 15 68 45,False,True,,3237.0
88,B,True,True,True,True,False,False,False,False,+33 1 93 11 10 72,True,False,3947.0,
89,B,True,True,True,True,True,True,False,False,01 88 32 18 41,True,True,1222.0,3142.0
90,A,True,True,True,True,True,True,True,True,+33 4 10 48 24 54,True,False,3563.0,
91,A,True,True,True,True,True,False,False,False,01 91 74 11 32,True,False,4720.0,
92,A,True,True,True,False,False,False,False,False,,False,False,,
93,B,True,False,False,False,False,False,False,False,,False,False,,
94,A,True,True,False,False,False,False,False,False,,False,False,,
95,B,True,True,True,True,True,False,False,False,+33 6 51 88 36 63,True,False,3326.0,
96,B,True,False,False,False,False,False,False,False,,False,False,,
97,B,True,True,True,True,False,False,False,False,+33 6 27 48 35 48,True,False,4772.0,
98,A,True,True,True,True,False,False,False,False,+33 1 46 30 17 38,True,False,3420.0,
99,B,True,True,False,False,False,False,False,False,,False,False,,
100,B,True,True,True,True,True,True,True,True,+33 4 14 77 18 64,True,False,3422.0,
101,B,True,True,True,True,True,True,True,True,+33 6 33 79 13 14,True,False,3164.0,
102,A,True,True,True,True,False,False,False,False,06 87 23 64 46,False,True,,3053.0
103,B,True,True,True,True,True,True,True,True,+33 1 19 95 39 92,True,True,1760.0,3428.0
104,B,True,True,True,True,True,False,False,False,+33 6 35 42 95 24,True,True,1115.0,3440.0
105,A,True,True,True,True,True,False,False,False,+33 6 67 13 76 47,True,False,4245.0,
106,A,True,True,False,False,False,False,False,False,,False,False,,
107,B,True,True,False,False,False,False,False,False,,False,False,,
